,property_id,exposure_count
0,346,2
1,139,1
2,343,2
3,340,3
4,2265,1
5,2767,1
6,641,1
7,994,2
8,2707,2
9,2842,2
10,499,1
11,416,1
12,1414,1
13,265,1
14,271,1
15,212,2
16,298,3
17,325,2
18,630,2
19,205,1
20,1769,1
21,1189,1
22,1590,2
23,1374,1
24,1644,2
25,1463,1
26,3198,1
27,860,1
28,3178,1
29,680,1
30,475,1
31,646,1
32,728,1
33,1196,1
34,3330,1
35,1064,1
36,2770,1
37,2890,1
38,1649,2
39,2675,1
40,965,1
41,3020,2
42,102,1
43,3016,2
44,3048,1
45,244,1
46,2930,1
47,2937,1
48,2939,1
49,2949,1
50,3184,1
51,3190,1
52,3171,2
53,3210,1
54,851,2
55,1013,1
56,370,1
57,373,1
58,1149,1
59,919,2
60,260,1
61,799,1
62,1871,1
63,689,1
64,2964,2
65,2978,2
66,2981,1
67,2982,1
68,2987,1
69,747,1
70,413,2
71,379,1
72,1052,2
73,1139,2
74,682,3
75,734,2
76,2571,2
77,533,1
78,459,1
79,1290,1
80,581,1
81,1225,1
82,606,1
83,647,1
84,1476,1
85,711,1
86,632,1
87,2579,1
88,2581,1
89,135,2
90,2404,2
91,2417,2
92,420,2
93,2306,2
94,20,1
95,15,2
96,19,1
97,303,1
98,270,1
99,2774,1
100,2693,1
101,2801,1
102,2685,1
103,2673,1
104,3454,1
105,3257,1
106,470,1
107,258,1
108,2759,1
109,1229,3
110,118,2
111,991,2
112,1510,2
113,1514,2
114,85,3
115,3467,2
116,917,3
117,377,3
118,595,2
119,746,1
120,1125,1
121,2817,1
122,1957,1
123,390,1
124,3223,1
125,3029,2
126,76,1
127,2995,1
128,3225,1
129,2921,1
130,2918,1
131,2877,1
132,2878,1
133,2807,1
134,1155,1
135,2925,1
136,330,2
137,988,2
138,101,1
139,2944,1
140,1366,1
141,1188,1
142,2948,1
143,2953,1
144,3445,1
145,3447,1
146,3455,1
147,353,1
148,3444,1
149,63,1
150,1402,1
151,408,2
152,953,1
153,714,1
154,3099,3
155,561,3
156,3088,2
157,3085,1
158,1932,2
159,1737,1
160,1343,1
161,1258,1
162,2525,1
163,2530,1
164,1023,1
165,1126,1
166,1608,2
167,451,1
168,2798,1
169,998,1
170,1966,1
171,1655,1
172,1512,1
173,2718,1
174,3047,1
175,788,1
176,1128,1
177,3154,1
178,1007,1
179,807,1
180,3470,3
181,964,3
182,3472,2
183,44,2
184,916,1
185,32,1
186,2975,1
187,612,1
188,2989,1
189,1036,1
190,2920,1
191,2627,1
192,3202,2
193,3219,1
194,3342,1
195,3451,1
196,961,1
197,927,2
198,853,1
199,393,1
200,507,1
201,3312,1
202,3318,1
203,3344,1
204,2736,1
205,3327,1
206,184,3
207,51,2
208,186,2
209,1059,3
210,1534,2
211,400,2
212,3475,2
213,206,1
214,1791,1
215,1386,2
216,850,1
217,2891,1
218,49,1
219,874,1
220,1307,1
221,2829,1
222,2830,1
223,2831,1
224,1250,1
225,1224,1
226,1684,1
227,2860,1
228,2844,1
229,495,1
230,536,1
231,776,1
232,2867,1
233,145,1
234,1728,2
235,289,2
236,1033,2
237,556,1
238,43,3
239,1340,1
240,837,1
241,1037,1
242,3153,1
243,1289,1
244,2197,1
245,3311,1
246,2927,1
247,248,2
248,2833,2
249,79,1
250,827,1
251,1708,1
252,932,1
253,2632,1
254,805,1
255,895,1
256,882,1
257,2916,1
258,521,2
259,1019,1
260,2733,1
261,2734,1
262,2747,1
263,2772,1
264,3261,1
265,1259,1
266,3300,1
267,3192,1
